Task name,Status,Assignee,Due,Priority,Tags,Project,Completed on,Delay,Parent-task,Phase,Sub-tasks,Tools
Stworzenie dokumentacji projektu,In Progress,AFK Studio,"July 28, 2025",High,Strategy & Planning,ButtonApp (https://www.notion.so/ButtonApp-1db35605529c80f8b425d6980b7f32e8?pvs=21),,,,,,
Zrobić projekt,Not Started,,,,,CleanApp (https://www.notion.so/CleanApp-1db35605529c80148391c09243fcdb72?pvs=21),,,,,,
Przerobić kurs w bubble,Not Started,,,,,CleanApp (https://www.notion.so/CleanApp-1db35605529c80148391c09243fcdb72?pvs=21),,,,,,
Określenie koncepcji i celów aplikacji,Planning,AFK Studio,,High,"Strategy & Planning, UX/UI",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Notion (https://www.notion.so/Notion-1dc35605529c8073b23ce224e7fbdbcb?pvs=21), Chatgpt (https://www.notion.so/Chatgpt-1dc35605529c80d7a717c8bafb6daa5c?pvs=21)"
Analiza rynku i konkurencji,Planning,AFK Studio,,Medium,"Research, Strategy & Planning",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Perplexity (https://www.notion.so/Perplexity-1df35605529c805d844dd6ead95be971?pvs=21), Chatgpt (https://www.notion.so/Chatgpt-1dc35605529c80d7a717c8bafb6daa5c?pvs=21)"
Wybór stosu technologicznego,Planning,AFK Studio,,High,"Backend, Frontend, Strategy & Planning",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Granola (https://www.notion.so/Granola-1df35605529c8071835cdc298cc63e78?pvs=21), Notion (https://www.notion.so/Notion-1dc35605529c8073b23ce224e7fbdbcb?pvs=21)"
Konfiguracja narzędzi projektowych,Planning,AFK Studio,,Low,Strategy & Planning,PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Linear (https://www.notion.so/Linear-1dc35605529c807093f2f3b1ef55f2c2?pvs=21), Notion (https://www.notion.so/Notion-1dc35605529c8073b23ce224e7fbdbcb?pvs=21)"
Przygotowanie makiet UX/UI,Planning,AFK Studio,,High,"Design, UX/UI",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,Figma (https://www.notion.so/Figma-1dc35605529c80d9a7a6c8681f720900?pvs=21)
Zdefiniowanie struktury danych,Planning,AFK Studio,,High,"Database, Strategy & Planning",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Supabase (https://www.notion.so/Supabase-1df35605529c806187c5ce8a5946360a?pvs=21), Notion (https://www.notion.so/Notion-1dc35605529c8073b23ce224e7fbdbcb?pvs=21)"
Prototypowanie aplikacji z AI,Planning,AFK Studio,,Medium,"Ai, Frontend",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Lovable (https://www.notion.so/Lovable-1df35605529c80cbb1fbf84d8a9f1b55?pvs=21), v0 (https://www.notion.so/v0-1df35605529c8012bc78cc966f130896?pvs=21)"
Utworzenie repozytorium i środowiska dev,Planning,AFK Studio,,Medium,DevOps,PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,1. Planning and concept,,"Replit (https://www.notion.so/Replit-1df35605529c809d8164d65704f45e1e?pvs=21), GitHub (https://www.notion.so/GitHub-1f935605529c80b4b8c1cf7bbdb4c54a?pvs=21)"
Implementacja lokalnej bazy danych,Planning,AFK Studio,,High,"Backend, Database",PocketMind (https://www.notion.so/PocketMind-1f835605529c80c2acb1d35cc1a7fc75?pvs=21),,,,2. Building MVP,,SQLite (https://www.notion.so/SQLite-1f935605529c80cfbd13d713104ecf2b?pvs=21)
,Not Started,,,,,,,,,,,
Task,Backlog,,,,,,,,,,,
,Not Started,,,,,,,,,,,
umiescic ino o wadze boostów,Not Started,,,,,ButtonApp (https://www.notion.so/ButtonApp-1db35605529c80f8b425d6980b7f32e8?pvs=21),,,,,,
,Not Started,,,,,ButtonApp (https://www.notion.so/ButtonApp-1db35605529c80f8b425d6980b7f32e8?pvs=21),,,,,,
